id,Asin,country
1,1015,de
2424796,1015,fr
2,000004458X,de
2424797,000004458X,fr
3,1002198,de
2424798,1002198,fr
2424799,1002791,fr
4980661,1002791,it
4,1002864,de
2424800,1002864,fr
5,1003704,de
2424801,1003704,fr
6,1003763,de
2424802,1003763,fr
2424803,1004271,fr
4980662,1004271,it
7,000101742X,de
2424804,000101742X,fr
8,1017519,de
2424805,1017519,fr
9,000102163X,de
2424806,000102163X,fr
2424807,1022369,fr
4980663,1022369,it
2424808,1022857,fr
4980664,1022857,it
10,1032666,de
2424809,1032666,fr
11,1034677,de
2424810,1034677,fr
12,1034936,de
2424811,1034936,fr
13,1034944,de
2424812,1034944,fr
14,1035002,de
2424813,1035002,fr
15,1035029,de
2424814,1035029,fr
16,1035053,de
7536526,1035053,es
2424815,1035053,fr
17,1035339,de
2424816,1035339,fr
18,1036866,de
7536527,1036866,es
2424817,1036866,fr
19,1037137,de
2424818,1037137,fr
20,1037188,de
2424819,1037188,fr
21,1037994,de
2424820,1037994,fr
22,000103863X,de
2424821,000103863X,fr
23,1039466,de
2424822,1039466,fr
2424823,1040871,fr
4980665,1040871,it
24,1040979,de
2424824,1040979,fr
25,1040987,de
2424825,1040987,fr
26,1041002,de
2424826,1041002,fr
27,1041991,de
2424827,1041991,fr
28,000104317X,de
2424828,000104317X,fr
29,1043331,de
2424829,1043331,fr
30,000104348X,de
2424830,000104348X,fr
31,1043498,de
2424831,1043498,fr
32,1043773,de
2424832,1043773,fr
33,000104396X,de
2424833,000104396X,fr
34,1048325,de
2424834,1048325,fr
35,1049119,de
2424835,1049119,fr
36,1057774,de
2424836,1057774,fr
37,1057790,de
7536528,1057790,es
2424837,1057790,fr
38,1057812,de
7536529,1057812,es
2424838,1057812,fr
39,1057987,de
2424839,1057987,fr
40,1059238,de
2424840,1059238,fr
41,1060619,de
2424841,1060619,fr
42,1060694,de
7536530,1060694,es
2424842,1060694,fr
43,1061305,de
2424843,1061305,fr
44,1063685,de
2424844,1063685,fr
45,1065440,de
2424845,1065440,fr
46,1065548,de
2424846,1065548,fr
47,1066544,de
2424847,1066544,fr
48,1067087,de
2424848,1067087,fr
49,1067311,de
2424849,1067311,fr
7536531,000106875X,es
2424850,000106875X,fr
4980666,000106875X,it
50,1069470,de
2424851,1069470,fr
51,1070991,de
2424852,1070991,fr
52,000107119X,de
2424853,000107119X,fr
53,1072064,de
54,1072226,de
2424854,1072226,fr
55,1072250,de
2424855,1072250,fr
56,1072498,de
2424856,1072498,fr
57,1073389,de
